CustomerID,SalesAmount,Invoice Date,Region / City,ProductID,ProductName,Category,Quantity,UnitPrice
CUST_0001,34807.14,09-04-2025,Chennai,PROD_041,Perfume,Beauty,9,3867.46
CUST_0001,32342.52,31-05-2024,Hyderabad,PROD_019,Lipstick,Beauty,7,4620.36
CUST_0001,34034.07,07-01-2025,Chennai,PROD_037,Perfume,Beauty,7,4862.01
CUST_0001,3842.79,25-04-2025,Mumbai,PROD_001,Mixer Grinder,Electronics,7,548.97
CUST_0002,19239.36,26-11-2024,Bangalore,PROD_044,Perfume,Beauty,7,2748.48
CUST_0002,1609.45,17-05-2025,Kolkata,PROD_061,Football,Sports,5,321.89
CUST_0002,3601.99,16-11-2024,Bangalore,PROD_082,T-shirt,Clothing,1,3601.99
CUST_0002,2961.7,03-03-2025,Chennai,PROD_026,Cricket Bat,Sports,10,296.17
CUST_0002,12027.36,30-03-2025,Chennai,PROD_031,Football,Sports,3,4009.12
CUST_0003,4570.48,23-01-2025,Chennai,PROD_034,Mixer Grinder,Electronics,1,4570.48
CUST_0003,25295.8,23-04-2025,Kolkata,PROD_096,Mixer Grinder,Electronics,10,2529.58
CUST_0003,21250.05,05-01-2025,Delhi,PROD_011,Mixer Grinder,Electronics,5,4250.01
CUST_0003,4532.6,17-02-2025,Hyderabad,PROD_008,Lipstick,Beauty,1,4532.6
CUST_0003,24510.16,25-08-2024,Hyderabad,PROD_082,Football,Sports,8,3063.77
CUST_0003,48748.7,11-07-2024,Mumbai,PROD_047,Cricket Bat,Sports,10,4874.87
CUST_0004,2882.51,31-07-2024,Chennai,PROD_054,T-shirt,Clothing,1,2882.51
CUST_0004,6214.77,31-08-2024,Delhi,PROD_083,Mixer Grinder,Electronics,3,2071.59
CUST_0004,33667.2,02-08-2024,Chennai,PROD_014,Jeans,Clothing,7,4809.6
CUST_0004,8139,02-06-2024,Mumbai,PROD_072,Football,Sports,5,1627.8
CUST_0005,23242.8,25-09-2024,Delhi,PROD_088,Smartphone,Electronics,5,4648.56
CUST_0005,27566.01,12-05-2025,Kolkata,PROD_011,Laptop,Electronics,9,3062.89
CUST_0005,22650.18,13-10-2024,Mumbai,PROD_094,Cricket Bat,Sports,7,3235.74
CUST_0005,4627.35,19-07-2024,Delhi,PROD_017,Jeans,Clothing,7,661.05
CUST_0005,19046.6,28-07-2024,Kolkata,PROD_002,T-shirt,Clothing,5,3809.32
CUST_0005,22087.7,23-04-2025,Delhi,PROD_023,T-shirt,Clothing,10,2208.77
CUST_0006,5840.01,21-10-2024,Hyderabad,PROD_049,Blender,Sports,9,648.89
CUST_0006,17384,24-06-2024,Hyderabad,PROD_038,Jeans,Clothing,10,1738.4
CUST_0006,9507.65,26-11-2024,Kolkata,PROD_034,Blender,Sports,5,1901.53
CUST_0006,2545.56,01-07-2024,Mumbai,PROD_099,Blender,Sports,6,424.26
CUST_0007,19855.4,30-12-2024,Delhi,PROD_095,Smartphone,Electronics,4,4963.85
CUST_0007,35816,09-04-2025,Delhi,PROD_005,Smartphone,Electronics,8,4477
CUST_0007,4097.04,30-03-2025,Mumbai,PROD_095,Smartphone,Electronics,8,512.13
CUST_0008,13854.28,28-06-2024,Kolkata,PROD_047,Cricket Bat,Sports,4,3463.57
CUST_0008,18446.24,26-01-2025,Bangalore,PROD_021,Cricket Bat,Sports,8,2305.78
CUST_0008,4265.02,24-12-2024,Delhi,PROD_092,Lipstick,Beauty,2,2132.51
CUST_0008,718.14,30-07-2024,Kolkata,PROD_061,Football,Sports,2,359.07
CUST_0008,1983.73,30-08-2024,Chennai,PROD_091,Jeans,Clothing,1,1983.73
CUST_0009,4510.44,12-04-2025,Hyderabad,PROD_077,Jeans,Clothing,6,751.74
